bond_code,bond_name,apply_date,apply_code,player_code,amount_per_stock,plan_amount,actual_amount,result_date,open_date,stock_code,stock_name,conver_price,winning_rate,end_date
123031,晶瑞转债,2019/8/29,370655,380655,1.2217,1.85亿,1.85亿,2019/9/2,2019/9/26,300655,晶瑞股份,18.38,0.045,2025/8/28
123032,万里转债,2019/10/11,370591,380591,0.5778,1.80亿,1.80亿,2019/10/15,2019/10/31,300591,万里马,6.92,0.025,2025/10/10
123033,金力转债,2019/11/1,370748,380748,1.0521,4.35亿,-,2019/11/5,-,300748,金力永磁,41.2,-,2025/10/31
123034,通光转债,2019/11/4,370265,380265,0.88,2.97亿,-,2019/11/6,-,300265,通光线缆,7.98,-,2025/11/3
127004,模塑转债,2017/6/2,70700,80700,1.1344,8.14亿,8.14亿,2017/6/8,2017/6/26,700,模塑科技,8,0.509,2023/6/1
127005,长证转债,2018/3/12,70783,80783,0.9042,50.00亿,50.00亿,2018/3/14,2018/4/11,783,长江证券,7.6,0.124,2024/3/11
127006,敖东转债,2018/3/13,70623,80623,2.0752,24.13亿,24.13亿,2018/3/15,2018/5/11,623,吉林敖东,21.12,0.124,2024/3/13
127007,湖广转债,2018/6/28,70665,80665,2.7248,17.34亿,17.34亿,2018/7/2,2018/8/1,665,湖北广电,7.92,1.013,2024/6/28
127008,特发转债,2018/11/16,70070,80070,0.6689,4.19亿,4.19亿,2018/11/20,2018/12/25,70,特发信息,5.61,0.168,2023/11/16
127009,冰轮转债,2019/1/14,70811,80811,0.7796,5.09亿,5.09亿,2019/1/16,2019/2/21,811,冰轮环境,5.47,0.141,2025/1/14
127010,平银转债,2019/1/21,70001,80001,1.5142,260.00亿,260.00亿,2019/1/23,2019/2/18,1,平安银行,11.63,0.045,2025/1/21
127011,中鼎转2,2019/3/8,70887,80887,0.9829,12.00亿,12.00亿,2019/3/12,2019/4/4,887,中鼎股份,11.79,0.008,2025/3/8
127012,招路转债,2019/3/22,71965,81965,0.8092,50.00亿,50.00亿,2019/3/26,2019/4/30,1965,招商公路,9.09,0.07,2025/3/21
127013,创维转债,2019/4/15,70810,80810,0.9821,10.40亿,10.40亿,2019/4/17,2019/5/16,810,创维数字,11.49,0.026,2025/4/15
127014,北方转债,2019/10/24,70065,80065,0.7514,5.78亿,5.78亿,2019/10/28,-,65,北方国际,8.84,0.024,2025/10/23
128014,永东转债,2017/4/17,72753,82753,2.2965,3.40亿,3.40亿,2017/4/21,2017/5/12,2753,永东股份,30.77,1.323,2023/4/16
128015,久其转债,2017/6/8,72279,82279,1.1084,7.80亿,7.80亿,2017/6/14,2017/6/27,2279,久其软件,12.97,2.381,2023/6/7
128016,雨虹转债,2017/9/25,72271,82271,2.0865,18.40亿,18.40亿,2017/9/27,2017/10/20,2271,东方雨虹,38.48,0.001,2023/9/25
128017,金禾转债,2017/11/1,72597,82597,1.0633,6.00亿,6.00亿,2017/11/3,2017/11/27,2597,金禾实业,23.92,0.001,2023/11/1
